,Date,Ethereum_Price,Crypto Fear & Greed Index,Price_Change,Price_Movement
491,2020-04-11,158.55,15,0.0016398612425101433,down
492,2020-04-12,158.81,10,-0.012593665386310682,up
493,2020-04-13,156.81,11,0.011670174096039654,down
494,2020-04-14,158.64,15,-0.03593040847201201,up
495,2020-04-15,152.94,18,0.12854714267032818,down
496,2020-04-16,172.6,13,-0.01048667439165707,up
497,2020-04-17,170.79,15,0.09988875226886829,down
498,2020-04-18,187.85,18,-0.04008517434122971,down
499,2020-04-19,180.32,16,-0.05362688553682338,flat
500,2020-04-20,170.65,15,0.0022267799589803516,up
501,2020-04-21,171.03,17,0.07010466000116944,up
502,2020-04-22,183.02,19,0.014807124904381963,up
503,2020-04-23,185.73,19,0.010391428417595439,up
504,2020-04-24,187.66,20,0.03596930619204941,up
505,2020-04-25,194.41,24,0.01651149632220572,flat
506,2020-04-26,197.62,21,-0.004604797085315249,flat
507,2020-04-27,196.71,28,0.0008642163591072727,up
